time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20100623:0100,16.05,79.6,0.0,-0.0,0.0,314.65,1.38,353.0,99152.0
20100623:0200,15.5,82.2,0.0,-0.0,0.0,314.6,1.45,352.0,99182.0
20100623:0300,15.07,84.1,0.0,0.0,0.0,314.8,1.45,353.0,99162.0
20100623:0400,15.44,85.85,70.0,13.84,67.0,320.4,1.31,358.0,99192.0
20100623:0500,18.22,77.6,247.0,186.49,173.0,318.8,1.1,1.0,99172.0
20100623:0600,20.28,63.8,484.0,533.74,181.0,326.2,0.83,2.0,99172.0
20100623:0700,20.99,57.5,675.0,705.02,169.0,351.8,1.03,327.0,99142.0
20100623:0800,22.09,53.2,824.0,794.87,159.0,342.6,0.62,306.0,99132.0
20100623:0900,22.75,50.85,865.0,668.97,252.0,350.0,0.62,228.0,99123.0
20100623:1000,23.14,50.75,829.0,498.21,355.0,359.2,1.38,204.0,99103.0
20100623:1100,23.4,51.35,851.0,575.87,310.0,367.4,1.93,198.0,99093.0
20100623:1200,23.51,51.5,436.0,44.25,397.0,363.2,1.93,202.0,99083.0
20100623:1300,23.32,53.2,608.0,348.32,336.0,385.0,1.93,210.0,99063.0
20100623:1400,23.29,53.5,165.0,0.0,165.0,367.6,1.17,203.0,99053.0
20100623:1500,22.64,56.75,326.0,238.04,211.0,377.8,1.1,150.0,99034.0
20100623:1600,22.5,58.15,94.0,6.54,92.0,362.0,0.9,125.0,99093.0
20100623:1700,21.88,61.9,44.0,31.77,40.0,365.6,0.76,117.0,99103.0
20100623:1800,21.04,69.7,0.0,-0.0,0.0,353.0,0.9,90.0,99162.0
20100623:1900,21.14,66.7,0.0,-0.0,0.0,350.4,0.9,101.0,99221.0
20100623:2000,20.69,69.25,0.0,-0.0,0.0,351.0,0.69,85.0,99281.0
20100623:2100,20.47,69.85,0.0,-0.0,0.0,341.0,0.48,82.0,99310.0
20100623:2200,20.38,69.7,0.0,-0.0,0.0,344.6,0.07,82.0,99350.0
20100623:2300,19.92,69.75,0.0,-0.0,0.0,341.2,0.21,311.0,99379.0
20100624:0000,19.04,72.9,0.0,-0.0,0.0,347.2,0.69,331.0,99399.0
20100624:0100,17.26,81.4,0.0,-0.0,0.0,358.25,0.97,340.0,99399.0
20100624:0200,17.88,77.45,0.0,-0.0,0.0,367.0,0.69,332.0,99409.0
20100624:0300,18.16,75.55,0.0,0.0,0.0,365.4,0.34,317.0,99419.0
20100624:0400,18.19,75.9,21.0,0.0,21.0,352.8,0.28,335.0,99478.0
20100624:0500,18.54,75.5,206.0,90.9,170.0,359.4,0.28,353.0,99488.0
20100624:0600,19.3,70.3,359.0,174.6,260.0,367.4,0.0,134.0,99528.0
20100624:0700,20.15,68.95,652.0,626.11,203.0,353.2,1.31,131.0,99567.0
20100624:0800,20.55,67.8,783.0,668.52,224.0,362.4,1.59,145.0,99577.0
20100624:0900,20.51,69.15,878.0,706.3,231.0,379.6,1.79,153.0,99597.0
20100624:1000,20.24,72.15,844.0,530.86,339.0,373.8,1.93,157.0,99587.0
20100624:1100,19.87,74.15,816.0,494.95,351.0,374.2,1.86,165.0,99597.0
20100624:1200,19.4,76.45,533.0,117.98,429.0,388.8,1.45,163.0,99597.0
20100624:1300,18.5,84.55,91.0,0.0,91.0,386.2,0.97,149.0,99656.0
20100624:1400,18.36,85.35,65.0,0.0,65.0,386.0,0.83,144.0,99686.0
20100624:1500,18.08,86.25,91.0,0.0,91.0,384.8,0.55,137.0,99696.0
20100624:1600,17.72,88.25,31.0,0.0,31.0,383.2,0.14,206.0,99715.0
20100624:1700,17.66,87.4,17.0,0.0,17.0,383.8,0.21,297.0,99735.0
20100624:1800,17.45,88.8,0.0,-0.0,0.0,382.0,0.48,316.0,99735.0
20100624:1900,17.68,86.2,0.0,-0.0,0.0,384.8,0.34,32.0,99794.0
20100624:2000,17.59,86.75,0.0,-0.0,0.0,384.0,0.34,358.0,99785.0
20100624:2100,17.42,88.25,0.0,-0.0,0.0,379.6,0.48,335.0,99804.0
20100624:2200,17.17,89.85,0.0,-0.0,0.0,377.0,0.76,316.0,99834.0
20100624:2300,16.98,90.95,0.0,-0.0,0.0,378.0,0.97,301.0,99814.0
20100625:0000,16.99,88.4,0.0,-0.0,0.0,375.2,1.1,296.0,99785.0
20100625:0100,16.89,89.7,0.0,-0.0,0.0,375.45,1.17,296.0,99765.0
20100625:0200,16.77,89.75,0.0,-0.0,0.0,373.2,1.17,298.0,99755.0
20100625:0300,16.63,90.4,0.0,0.0,0.0,371.8,1.17,296.0,99715.0
20100625:0400,16.82,90.85,13.0,0.0,13.0,373.4,1.17,287.0,99745.0
